order_id,order_item_id,product_id,price
syn_order_000001,1,syn_prod_00142,146.21
syn_order_000001,2,syn_prod_00203,59.40
syn_order_000001,3,syn_prod_00162,16.26
syn_order_000002,1,syn_prod_00069,44.92
syn_order_000002,2,syn_prod_00242,632.92
syn_order_000002,3,syn_prod_00009,30.44
syn_order_000003,1,syn_prod_00176,50.20
syn_order_000003,2,syn_prod_00218,57.44
syn_order_000004,1,syn_prod_00081,382.10
syn_order_000004,2,syn_prod_00096,373.75
syn_order_000004,3,syn_prod_00091,83.55
syn_order_000005,1,syn_prod_00095,465.45
syn_order_000005,2,syn_prod_00153,19.12
syn_order_000005,3,syn_prod_00034,149.35
syn_order_000005,4,syn_prod_00260,233.63
syn_order_000006,1,syn_prod_00067,218.73
syn_order_000006,2,syn_prod_00256,120.67
syn_order_000006,3,syn_prod_00264,270.57
syn_order_000006,4,syn_prod_00247,210.98
syn_order_000007,1,syn_prod_00077,124.93
syn_order_000007,2,syn_prod_00257,116.13
syn_order_000008,1,syn_prod_00142,121.42
syn_order_000008,2,syn_prod_00206,128.74
syn_order_000008,3,syn_prod_00254,141.92
syn_order_000009,1,syn_prod_00233,196.01
syn_order_000009,2,syn_prod_00058,93.99
syn_order_000009,3,syn_prod_00272,687.00
syn_order_000009,4,syn_prod_00240,335.88
syn_order_000010,1,syn_prod_00106,252.56
syn_order_000010,2,syn_prod_00121,131.42
syn_order_000011,1,syn_prod_00085,252.90
syn_order_000011,2,syn_prod_00096,253.41
syn_order_000011,3,syn_prod_00171,38.87
syn_order_000012,1,syn_prod_00081,158.95
syn_order_000012,2,syn_prod_00096,257.75
syn_order_000012,3,syn_prod_00174,25.10
syn_order_000013,1,syn_prod_00188,160.12
syn_order_000013,2,syn_prod_00023,68.99
syn_order_000013,3,syn_prod_00060,53.55
syn_order_000014,1,syn_prod_00166,27.77
syn_order_000014,2,syn_prod_00059,37.36
syn_order_000014,3,syn_prod_00013,56.07
syn_order_000014,4,syn_prod_00068,68.20
syn_order_000015,1,syn_prod_00233,68.85
syn_order_000015,2,syn_prod_00202,87.38
syn_order_000015,3,syn_prod_00055,91.77
syn_order_000015,4,syn_prod_00185,411.32
