product_id,product_category_name,base_price
syn_prod_00001,beleza_saude,67.24
syn_prod_00002,beleza_saude,19.93
syn_prod_00003,beleza_saude,39.18
syn_prod_00004,beleza_saude,35.19
syn_prod_00005,beleza_saude,74.71
syn_prod_00006,beleza_saude,70.11
syn_prod_00007,beleza_saude,86.70
syn_prod_00008,beleza_saude,24.69
syn_prod_00009,beleza_saude,50.49
syn_prod_00010,beleza_saude,20.29
syn_prod_00011,beleza_saude,34.84
syn_prod_00012,beleza_saude,56.91
syn_prod_00013,beleza_saude,20.04
syn_prod_00014,beleza_saude,33.31
syn_prod_00015,beleza_saude,68.04
syn_prod_00016,beleza_saude,59.96
syn_prod_00017,beleza_saude,34.97
syn_prod_00018,beleza_saude,63.37
syn_prod_00019,beleza_saude,80.33
syn_prod_00020,beleza_saude,18.50
syn_prod_00021,cama_mesa_banho,149.90
syn_prod_00022,cama_mesa_banho,133.21
syn_prod_00023,cama_mesa_banho,77.74
syn_prod_00024,cama_mesa_banho,49.10
syn_prod_00025,cama_mesa_banho,173.37
syn_prod_00026,cama_mesa_banho,77.17
syn_prod_00027,cama_mesa_banho,39.38
syn_prod_00028,cama_mesa_banho,39.99
syn_prod_00029,cama_mesa_banho,156.36
syn_prod_00030,cama_mesa_banho,118.58
syn_prod_00031,cama_mesa_banho,150.10
syn_prod_00032,cama_mesa_banho,138.11
syn_prod_00033,cama_mesa_banho,108.12
syn_prod_00034,cama_mesa_banho,175.83
syn_prod_00035,cama_mesa_banho,83.67
syn_prod_00036,cama_mesa_banho,110.57
syn_prod_00037,cama_mesa_banho,153.56
syn_prod_00038,cama_mesa_banho,120.87
syn_prod_00039,cama_mesa_banho,158.56
syn_prod_00040,cama_mesa_banho,114.49
syn_prod_00041,utilidades_domesticas,96.03
syn_prod_00042,utilidades_domesticas,20.27
syn_prod_00043,utilidades_domesticas,41.21
syn_prod_00044,utilidades_domesticas,48.28
syn_prod_00045,utilidades_domesticas,24.18
syn_prod_00046,utilidades_domesticas,41.77
syn_prod_00047,utilidades_domesticas,26.62
syn_prod_00048,utilidades_domesticas,46.97
syn_prod_00049,utilidades_domesticas,88.10
syn_prod_00050,utilidades_domesticas,56.96
syn_prod_00051,utilidades_domesticas,57.57
syn_prod_00052,utilidades_domesticas,39.09
syn_prod_00053,utilidades_domesticas,45.70
syn_prod_00054,utilidades_domesticas,122.72
syn_prod_00055,utilidades_domesticas,89.52
syn_prod_00056,utilidades_domesticas,85.05
syn_prod_00057,utilidades_domesticas,34.68
syn_prod_00058,utilidades_domesticas,98.85
syn_prod_00059,utilidades_domesticas,33.79
syn_prod_00060,utilidades_domesticas,58.64
syn_prod_00061,esporte_lazer,257.64
